,para,equity_curve
0,"[5, 20, 2, 0.025, 0.008]",0.04143914614910635
1,"[5, 20, 2, 0.03, 0.008]",0.03832151271627557
2,"[5, 20, 2, 0.025, 0.01]",0.04102255563246236
3,"[5, 20, 2, 0.03, 0.01]",0.037936263977712915
4,"[5, 20, 3, 0.025, 0.008]",0.03688423779776164
5,"[5, 20, 3, 0.03, 0.008]",0.033316163368282505
6,"[5, 20, 3, 0.025, 0.01]",0.037287943267430256
7,"[5, 20, 3, 0.03, 0.01]",0.03368081553905223
8,"[5, 20, 5, 0.025, 0.008]",0.04102738661773971
9,"[5, 20, 5, 0.03, 0.008]",0.03852760332638748
10,"[5, 20, 5, 0.025, 0.01]",0.03993507381200786
11,"[5, 20, 5, 0.03, 0.01]",0.037501844730558134
12,"[10, 30, 2, 0.025, 0.008]",0.16919053565908104
13,"[10, 30, 2, 0.03, 0.008]",0.16934004259813498
14,"[10, 30, 2, 0.025, 0.01]",0.15733932706978623
15,"[10, 30, 2, 0.03, 0.01]",0.15747836156773523
16,"[10, 30, 3, 0.025, 0.008]",0.14262897462244478
17,"[10, 30, 3, 0.03, 0.008]",0.14218834657019083
18,"[10, 30, 3, 0.025, 0.01]",0.13982861608753921
19,"[10, 30, 3, 0.03, 0.01]",0.13939663926852958
20,"[10, 30, 5, 0.025, 0.008]",0.22139440358472312
21,"[10, 30, 5, 0.03, 0.008]",0.22504555003405305
22,"[10, 30, 5, 0.025, 0.01]",0.21994893710946098
23,"[10, 30, 5, 0.03, 0.01]",0.22357624551364394
24,"[20, 60, 2, 0.025, 0.008]",0.3116018455347448
25,"[20, 60, 2, 0.03, 0.008]",0.3099880377742724
26,"[20, 60, 2, 0.025, 0.01]",0.3329901641316336
27,"[20, 60, 2, 0.03, 0.01]",0.3312655847726316
28,"[20, 60, 3, 0.025, 0.008]",0.32341952927457723
29,"[20, 60, 3, 0.03, 0.008]",0.3297446207280961
30,"[20, 60, 3, 0.025, 0.01]",0.35565538554674636
31,"[20, 60, 3, 0.03, 0.01]",0.36261091122129446
32,"[20, 60, 5, 0.025, 0.008]",0.3455269458768659
33,"[20, 60, 5, 0.03, 0.008]",0.3494899790067462
34,"[20, 60, 5, 0.025, 0.01]",0.3884532133825565
35,"[20, 60, 5, 0.03, 0.01]",0.39290859080655477
,final_time
0,0 days 00:04:56.016921
